handshake_id,session_id,protocol,client_ip,client_port,start_time,end_time,turnaround_latency_ms,total_duration_ms,client_hello_bytes,server_hello_bytes,total_client_bytes,total_server_bytes,status
110,1,Hybrid-PQC,192.168.1.3,60529,2026-09-09T08:52:52.788358,2026-09-09T08:52:52.812484,1.564,24.126,1249,1268,1399,1268,SUCCESS
111,1,Hybrid-PQC,192.168.1.3,60530,2026-09-09T08:53:08.403523,2026-09-09T08:53:08.459246,0.782,55.723,1249,1268,1399,1268,SUCCESS
112,1,Hybrid-PQC,192.168.1.3,60531,2026-09-09T08:53:24.066819,2026-09-09T08:53:24.079432,0.866,12.613,1249,1268,1399,1268,SUCCESS
113,1,Hybrid-PQC,192.168.1.3,60532,2026-09-09T08:53:39.760949,2026-09-09T08:53:39.879970,1.099,119.021,1249,1268,1399,1268,SUCCESS
114,1,Hybrid-PQC,192.168.1.3,60533,2026-09-09T08:53:55.484435,2026-09-09T08:53:55.505855,1.170,21.420,1249,1268,1399,1268,SUCCESS
115,1,Hybrid-PQC,192.168.1.3,60534,2026-09-09T08:54:11.097198,2026-09-09T08:54:11.137561,0.986,40.363,1249,1268,1399,1268,SUCCESS
116,1,Hybrid-PQC,192.168.1.3,60535,2026-09-09T08:54:26.763470,2026-09-09T08:54:26.792086,1.232,28.616,1249,1268,1399,1268,SUCCESS
117,1,Hybrid-PQC,192.168.1.3,60536,2026-09-09T08:54:42.383952,2026-09-09T08:54:42.403607,1.190,19.655,1249,1268,1399,1268,SUCCESS
118,1,Hybrid-PQC,192.168.1.3,60537,2026-09-09T08:54:58.002637,2026-09-09T08:54:58.025049,1.394,22.412,1249,1268,1399,1268,SUCCESS
119,1,Hybrid-PQC,192.168.1.3,60538,2026-09-09T08:55:13.618997,2026-09-09T08:55:13.649308,0.881,30.311,1249,1268,1399,1268,SUCCESS
120,1,Hybrid-PQC,192.168.1.3,60539,2026-09-09T08:55:29.331489,2026-09-09T08:55:29.455573,1.089,124.084,1249,1268,1399,1268,SUCCESS
121,1,Hybrid-PQC,192.168.1.3,60540,2026-09-09T08:55:45.043648,2026-09-09T08:55:45.072634,1.271,28.986,1249,1268,1399,1268,SUCCESS
122,1,Hybrid-PQC,192.168.1.3,60541,2026-09-09T08:56:00.770811,2026-09-09T08:56:00.850195,1.018,79.384,1249,1268,1399,1268,SUCCESS
123,1,Hybrid-PQC,192.168.1.3,60542,2026-09-09T08:56:16.439789,2026-09-09T08:56:16.457380,1.082,17.591,1249,1268,1399,1268,SUCCESS
124,1,Hybrid-PQC,192.168.1.3,60543,2026-09-09T08:56:32.104006,2026-09-09T08:56:32.318900,1.043,214.894,1249,1268,1399,1268,SUCCESS
125,1,Hybrid-PQC,192.168.1.3,60544,2026-09-09T08:56:47.975994,2026-09-09T08:56:48.115022,0.875,139.028,1249,1268,1399,1268,SUCCESS
126,1,Hybrid-PQC,192.168.1.3,60545,2026-09-09T08:57:03.712776,2026-09-09T08:57:03.749093,0.764,36.317,1249,1268,1399,1268,SUCCESS
127,1,Hybrid-PQC,192.168.1.3,60546,2026-09-09T08:57:19.411266,2026-09-09T08:57:19.462753,1.090,51.487,1249,1268,1399,1268,SUCCESS
128,1,Hybrid-PQC,192.168.1.3,60547,2026-09-09T08:57:35.052012,2026-09-09T08:57:35.089468,0.826,37.456,1249,1268,1399,1268,SUCCESS
129,1,Hybrid-PQC,192.168.1.3,60548,2026-09-09T08:57:50.687220,2026-09-09T08:57:50.721319,1.207,34.099,1249,1268,1399,1268,SUCCESS
130,1,Hybrid-PQC,192.168.1.3,60549,2026-09-09T08:58:06.319981,2026-09-09T08:58:06.343978,1.245,23.997,1249,1268,1399,1268,SUCCESS
131,1,Hybrid-PQC,192.168.1.3,60550,2026-09-09T08:58:21.978397,2026-09-09T08:58:22.000155,1.123,21.758,1249,1268,1399,1268,SUCCESS
132,1,Hybrid-PQC,192.168.1.3,60551,2026-09-09T08:58:37.646528,2026-09-09T08:58:37.906288,1.133,259.760,1249,1268,1399,1268,SUCCESS
133,1,Hybrid-PQC,192.168.1.3,60552,2026-09-09T08:58:53.518706,2026-09-09T08:58:53.548274,1.186,29.568,1249,1268,1399,1268,SUCCESS
134,1,Hybrid-PQC,192.168.1.3,60553,2026-09-09T08:59:09.187610,2026-09-09T08:59:09.217384,1.092,29.774,1249,1268,1399,1268,SUCCESS
135,1,Hybrid-PQC,192.168.1.3,60554,2026-09-09T08:59:24.809414,2026-09-09T08:59:24.830965,1.180,21.551,1249,1268,1399,1268,SUCCESS
136,1,Hybrid-PQC,192.168.1.3,60555,2026-09-09T08:59:40.484000,2026-09-09T08:59:40.592088,0.903,108.088,1249,1268,1399,1268,SUCCESS
137,1,Hybrid-PQC,192.168.1.3,60556,2026-09-09T08:59:56.291848,2026-09-09T08:59:56.408297,1.156,116.449,1249,1268,1399,1268,SUCCESS
138,1,Hybrid-PQC,192.168.1.3,60557,2026-09-09T09:00:11.998951,2026-09-09T09:00:12.014994,1.122,16.043,1249,1268,1399,1268,SUCCESS
139,1,Hybrid-PQC,192.168.1.3,60558,2026-09-09T09:00:27.604166,2026-09-09T09:00:27.643578,1.038,39.412,1249,1268,1399,1268,SUCCESS
